date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:26	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Feb%202026%2023:56:13%20GMT	https://penisprofessor.com/robots.txt		(from )
16:32:36	47053/47053	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202026%2014:32:26%20GMT	https://penisprofessor.com/	D:/WinHTTrack/mensgains/penisprofessor.com/index.html	(from )
16:32:36	56171/56171	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202026%2014:32:27%20GMT	https://verifiedmemberaccess.com/	D:/WinHTTrack/mensgains/verifiedmemberaccess.com/index.html	(from )
16:32:37	0/0	---M--	200	added ('OK')	application/javascript	date:Tue,%2001%20Sep%202026%2014:32:37%20GMT	http://script.crazyegg.com/pages/scripts/0017/2505.js	D:/WinHTTrack/mensgains/script.crazyegg.com/pages/scripts/0017/2505.js	(from https://penisprofessor.com/)
16:32:37	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	D:/WinHTTrack/mensgains/code.jquery.com/jquery-3.6.0.min.js	(from https://penisprofessor.com/)
16:32:38	25182/25182	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Sep%202022%2011:19:51%20GMT	https://penisprofessor.com/bubble.svg	D:/WinHTTrack/mensgains/penisprofessor.com/bubble.svg	(from https://penisprofessor.com/)
16:32:39	28831/28831	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202026%2014:32:38%20GMT	https://penisprofessor.com/BuyNow.php	D:/WinHTTrack/mensgains/penisprofessor.com/BuyNow.html	(from https://penisprofessor.com/)
16:32:39	64587/64587	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Aug%202019%2013:53:58%20GMT	https://penisprofessor.com/images/navbuy.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/navbuy.jpg	(from https://penisprofessor.com/)
16:32:39	170889/170889	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Nov%202023%2018:15:30%20GMT	https://penisprofessor.com/images/banner.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/banner.jpg	(from https://penisprofessor.com/)
16:32:40	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2001%20Sep%202026%2014:32:40%20GMT	https://verifiedmemberaccess.com/members.php	D:/WinHTTrack/mensgains/verifiedmemberaccess.com/members.7.delayed	(from https://penisprofessor.com/)
16:32:41	12449/12449	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202026%2014:32:41%20GMT	https://verifiedmemberaccess.com/logincode.php?redirect=/members.php	D:/WinHTTrack/mensgains/verifiedmemberaccess.com/logincode2ffd.html	(from https://penisprofessor.com/)
16:32:41	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Feb%202026%2023:56:13%20GMT	https://penisprofessor.com/members/images/memberloginroll.png	D:/WinHTTrack/mensgains/penisprofessor.com/members/images/memberloginroll.png	(from https://penisprofessor.com/)
16:32:42	13715/13715	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jun%202018%2016:50:31%20GMT	https://www.thepenisprofessor.com/images/memberlogin.png	D:/WinHTTrack/mensgains/www.thepenisprofessor.com/images/memberlogin.png	(from https://penisprofessor.com/)
16:32:43	252067/252067	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2001:48:38%20GMT	https://penisprofessor.com/images/thepenisprofessor.png	D:/WinHTTrack/mensgains/penisprofessor.com/images/thepenisprofessor.png	(from https://penisprofessor.com/)
16:32:43	79775/79775	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Nov%202023%2018:38:36%20GMT	https://penisprofessor.com/images/baredcss.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/baredcss.jpg	(from https://penisprofessor.com/)
16:32:43	13304/13304	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202026%2014:32:43%20GMT	https://penisprofessor.com/BonusContentdemo.php	D:/WinHTTrack/mensgains/penisprofessor.com/BonusContentdemo.html	(from https://penisprofessor.com/)
16:32:43	62282/62282	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Nov%202023%2018:52:51%20GMT	https://penisprofessor.com/images/bawhiteCSS.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/bawhiteCSS.jpg	(from https://penisprofessor.com/)
16:32:53	42378/42378	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202026%2014:32:43%20GMT	https://penisprofessor.com/Testimonials.php	D:/WinHTTrack/mensgains/penisprofessor.com/Testimonials.html	(from https://penisprofessor.com/)
16:32:55	223983/223983	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Nov%202023%2018:19:05%20GMT	https://penisprofessor.com/images/PenisProfessorBoxShot.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/PenisProfessorBoxShot.jpg	(from https://penisprofessor.com/)
16:32:55	29755/29755	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Aug%202019%2013:53:03%20GMT	https://penisprofessor.com/images/cards.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/cards.jpg	(from https://penisprofessor.com/)
16:32:55	18462/18462	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Aug%202019%2013:54:25%20GMT	https://penisprofessor.com/images/paypal.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/paypal.jpg	(from https://penisprofessor.com/)
16:32:55	41323/41323	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2000:01:21%20GMT	https://penisprofessor.com/images/WEACCEPTECREDIT.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/WEACCEPTECREDIT.jpg	(from https://penisprofessor.com/)
16:32:55	37465/37465	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2000:01:17%20GMT	https://penisprofessor.com/images/WEACCEPTECHECKS.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/WEACCEPTECHECKS.jpg	(from https://penisprofessor.com/)
16:32:56	34739/34739	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2000:01:26%20GMT	https://penisprofessor.com/images/WEACCEPTPAYPAL.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/WEACCEPTPAYPAL.jpg	(from https://penisprofessor.com/)
16:32:56	0/0	---M--	301	error ('Moved%20Permanently')	unknown/unknown	date:Tue,%2001%20Sep%202026%2014:32:56%20GMT	https://www.paypal.com/en_US/i/icon/verification_seal.gif	D:/WinHTTrack/mensgains/www.paypal.com/en_US/i/icon/verification_seal.16.delayed	(from https://penisprofessor.com/)
16:32:56	4585/4585	---M--	200	added ('OK')	image/gif	etag:%22P6OnIZ13Ho8yw0Z6tPt12U7fEXrGYzreNuUxSNz21BY%22	https://www.paypalobjects.com/en_US/i/icon/verification_seal.gif	D:/WinHTTrack/mensgains/www.paypalobjects.com/en_US/i/icon/verification_seal.gif	(from https://penisprofessor.com/)
16:32:57	71137/71137	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Aug%202019%2013:56:30%20GMT	https://penisprofessor.com/images/orderword.jpg	D:/WinHTTrack/mensgains/penisprofessor.com/images/orderword.jpg	(from https://penisprofessor.com/)
16:32:57	47053/47053	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202026%2014:32:57%20GMT	https://penisprofessor.com/index.php	D:/WinHTTrack/mensgains/penisprofessor.com/index-2.html	(from https://penisprofessor.com/)
16:32:58	24430/24430	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2011%20Jun%202021%2011:01:59%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.19.3/jquery.validate.min.js	D:/WinHTTrack/mensgains/cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.19.3/jquery.validate.min.js	(from https://penisprofessor.com/)
